# Frequency (Hz), Power Spectrum (A^2/Hz)
562.554932, 7.40815298e-10
565.246582, 8.40283787e-10
567.938232, 7.10546011e-10
570.629883, 4.20590951e-10
573.321533, 3.31121441e-09
576.013184, 1.1608619e-08
578.704834, 2.98030622e-09
581.396484, 4.76491402e-10
584.088135, 6.41567355e-10
586.779785, 3.93287541e-10
589.471436, 6.2735106e-10
592.163086, 8.88567886e-10
594.854736, 3.1765196e-10
597.546387, 3.15449611e-10
600.238037, 6.59250876e-10
602.929688, 4.44502352e-10
605.621338, 3.88118115e-09
608.312988, 1.02056221e-08
611.004639, 2.22816543e-09
613.696289, 7.72657549e-10
616.387939, 1.01228415e-09
619.07959, 8.4745605e-10
621.77124, 6.11973971e-10
624.462891, 1.31995326e-09
627.154541, 7.35355221e-10
629.846191, 7.7674589e-10
632.537842, 1.28011646e-09
635.229492, 1.40888556e-09
637.921143, 5.93397775e-09
640.612793, 9.19232779e-09
643.304443, 2.54861998e-09
645.996094, 9.22472498e-09
648.687744, 1.7271455e-07
651.379395, 1.68408945e-07
654.071045, 8.53441851e-09
656.762695, 1.61422709e-09
659.454346, 1.33233791e-09
662.145996, 1.93328975e-09
664.837646, 1.34792533e-09
667.529297, 1.41925915e-09
670.220947, 5.49914381e-09
672.912598, 7.79462006e-09
675.604248, 1.7273809e-09
678.295898, 5.23570465e-10
680.987549, 8.65467475e-10
683.679199, 9.81434933e-10
686.37085, 7.37085393e-10
689.0625, 5.57170976e-10
691.75415, 7.23109628e-10
694.445801, 3.18847254e-10
697.137451, 2.96002778e-10
699.829102, 7.40794315e-10
702.520752, 5.02021269e-09
705.212402, 5.59123459e-09
707.904053, 8.34207314e-10
710.595703, 2.94627822e-10
713.287354, 2.06019979e-10
715.979004, 4.88515006e-10
718.670654, 3.51306928e-10
721.362305, 1.56671731e-10
724.053955, 5.52327073e-10
726.745605, 4.56776589e-10
729.437256, 2.65472727e-10
732.128906, 7.49461937e-10
734.820557, 5.23852073e-09
737.512207, 4.29937419e-09
740.203857, 6.71923572e-10
742.895508, 5.40903322e-10
745.587158, 1.56863245e-10
748.278809, 4.10742662e-10
750.970459, 5.28066757e-10
753.662109, 1.90750554e-10
756.35376, 3.61908364e-10
759.04541, 5.66451663e-10
761.737061, 2.2509733e-10
764.428711, 7.22843507e-10
767.120361, 5.90335425e-09
769.812012, 3.57662944e-09
772.503662, 3.39535372e-10
775.195312, 6.00887395e-10
777.886963, 2.24633534e-10
780.578613, 2.46797804e-10
783.270264, 4.5564541e-10
785.961914, 2.6341801e-10
788.653564, 2.13678159e-10
791.345215, 5.87731086e-10
794.036865, 2.69497591e-10
796.728516, 8.5859353e-10
799.420166, 5.50500667e-09
802.111816, 2.59239807e-09
804.803467, 1.69921507e-10
807.495117, 4.13788004e-10
810.186768, 3.48065604e-10
812.878418, 1.61713642e-10
815.570068, 3.37655071e-10
818.261719, 3.0225239e-10
820.953369, 1.37706124e-10
823.64502, 4.03197586e-10
826.33667, 4.61453237e-10
829.02832, 1.23123622e-09
831.719971, 5.43021716e-09
834.411621, 2.2740636e-09
837.103271, 3.22919802e-10
839.794922, 5.19896237e-10
842.486572, 7.77977849e-10
845.178223, 3.50045576e-10
847.869873, 8.13617451e-10
850.561523, 7.76657183e-10
853.253174, 1.37976963e-09
855.944824, 1.1242377e-09
858.636475, 9.78731873e-10
861.328125, 2.26094166e-09
864.019775, 4.82184035e-08
866.711426, 1.62222932e-07
869.403076, 4.03380298e-08
872.094727, 9.45741152e-10
874.786377, 9.62489088e-10
877.478027, 1.06234854e-09
880.169678, 1.21054844e-09
882.861328, 7.1715095e-10
885.552979, 7.51526397e-10
888.244629, 3.34024308e-10
890.936279, 7.51748497e-10
893.62793, 1.96909911e-09
896.31958, 4.39986225e-09
899.01123, 1.14148402e-09
901.702881, 3.48037071e-10
904.394531, 2.79273521e-10
907.086182, 4.2426393e-10
909.777832, 3.93189648e-10
912.469482, 1.35534584e-10
915.161133, 2.44572529e-10
917.852783, 2.49720716e-10
920.544434, 8.35112535e-11
923.236084, 2.60430622e-10
925.927734, 2.27743469e-09
928.619385, 3.91599597e-09
931.311035, 4.85955942e-10
934.002686, 3.54211105e-10
936.694336, 1.54291149e-10
939.385986, 2.36269809e-10
942.077637, 4.04180384e-10
944.769287, 1.78047591e-10
947.460938, 2.09329248e-10
950.152588, 3.34255318e-10
952.844238, 2.35520187e-10
955.535889, 2.73132184e-10
958.227539, 2.70918288e-09
960.919189, 3.58592778e-09
963.61084, 3.95682681e-10
966.30249, 2.93801705e-10
968.994141, 1.60393268e-10
971.685791, 1.13666757e-10
974.377441, 3.52353896e-10
977.069092, 2.10518783e-10
979.760742, 1.11434827e-10
982.452393, 2.46134335e-10
985.144043, 1.90294169e-10
987.835693, 1.57325611e-10
990.527344, 2.7761311e-09
993.218994, 3.0184395e-09
995.910645, 2.66264455e-10
998.602295, 2.79612805e-10
1001.29395, 2.98084585e-10
1003.9856, 1.292393e-10
1006.67725, 2.5357122e-10
1009.3689, 3.11745962e-10
1012.06055, 1.178036e-10
1014.7522, 2.31647673e-10
1017.44385, 3.05883485e-10
1020.1355, 2.75918649e-10
1022.82715, 2.95458391e-09
1025.5188, 2.58907962e-09
1028.21045, 1.61116134e-10
1030.9021, 1.3149086e-10
1033.59375, 2.75993089e-10
1036.2854, 1.41045772e-10
1038.97705, 1.72144146e-10
1041.6687, 3.36841943e-10
1044.36035, 2.36912934e-10
1047.052, 2.32218286e-10
1049.74365, 3.15586557e-10
1052.4353, 5.32046629e-10
1055.12695, 2.91928726e-09
1057.8186, 2.15650076e-09
1060.51025, 3.23298804e-10
1063.2019, 3.37456674e-10
1065.89355, 5.17808962e-10
1068.58521, 5.95810679e-10
1071.27686, 9.03468966e-10
1073.96851, 5.70256842e-10
1076.66016, 6.47704224e-10
1079.35181, 3.70525122e-09
1082.04346, 7.00993184e-08
1084.73511, 6.71793643e-08
1087.42676, 5.86235105e-09
1090.11841, 1.91878025e-09
1092.81006, 5.38936951e-10
1095.50171, 7.64201924e-10
1098.19336, 4.84801033e-10
1100.88501, 4.70274653e-10
1103.57666, 3.1794356e-10
1106.26831, 2.94249763e-10
1108.95996, 4.24028535e-10
1111.65161, 1.4222766e-10
1114.34326, 2.58031096e-10
1117.03491, 8.4653462e-10
1119.72656, 3.01032821e-09
1122.41821, 1.10978415e-09
1125.10986, 2.91758423e-10
1127.80151, 1.27679978e-10
1130.49316, 1.21033475e-10
1133.18481, 2.41952014e-10
1135.87646, 1.02259007e-10
1138.56812, 9.18117596e-11
1141.25977, 2.49356813e-10
1143.95142, 1.44354723e-10
1146.64307, 9.73896935e-11
1149.33472, 9.07679043e-10
1152.02637, 2.83812751e-09
1154.71802, 7.01131153e-10
1157.40967, 2.07572584e-10
1160.10132, 1.54013552e-10
1162.79297, 8.84485471e-11
1165.48462, 1.64094349e-10
1168.17627, 1.49552107e-10
1170.86792, 8.69531461e-11
1173.55957, 1.68572545e-10
1176.25122, 1.75355452e-10
1178.94287, 6.18320534e-11
1181.63452, 1.03411668e-09
1184.32617, 2.57777111e-09
1187.01782, 4.48234977e-10
1189.70947, 1.23121333e-10
1192.40112, 1.83622048e-10
1195.09277, 6.10121745e-11
1197.78442, 9.3536047e-11
1200.47607, 1.5325323e-10
1203.16772, 6.95942193e-11
1205.85938, 8.82956555e-11
1208.55103, 2.02380238e-10
1211.24268, 1.19220647e-10
1213.93433, 1.19895127e-09
1216.62598, 2.37059172e-09
1219.31763, 3.69976799e-10
1222.00928, 7.9366666e-11
1224.70093, 1.95943053e-10
1227.39258, 1.12056239e-10
1230.08423, 8.29747729e-11
1232.77588, 1.61981928e-10
1235.46753, 1.12210033e-10
1238.15918, 6.38383651e-11
1240.85083, 1.48664567e-10
1243.54248, 1.43748582e-10
1246.23413, 1.32067213e-09
1248.92578, 1.99661598e-09
1251.61743, 2.81955514e-10
1254.30908, 7.3057102e-11
1257.00073, 1.39202455e-10
1259.69238, 1.47354032e-10
1262.38403, 1.21635285e-10
1265.07568, 1.50017124e-10
1267.76733, 1.91604441e-10
1270.45898, 1.00599085e-10
1273.15063, 1.50609358e-10
1275.84229, 2.65362954e-10
1278.53394, 1.61107672e-09
1281.22559, 1.89441818e-09
1283.91724, 3.62551433e-10
1286.60889, 3.98394956e-10
1289.30054, 3.34760636e-10
1291.99219, 3.1063116e-10
1294.68384, 2.94244573e-10
1297.37549, 1.21722294e-08
1300.06714, 4.44187549e-08
1302.75879, 1.0888872e-08
1305.45044, 2.52567106e-10
1308.14209, 3.7009576e-10
1310.83374, 2.0192874e-09
1313.52539, 1.71812553e-09
1316.21704, 2.40031189e-10
