# Frequency (Hz), Power Spectrum (A^2/Hz)
0, 3.26041096e-08
2.69165039, 5.43346346e-08
5.38330078, 4.67850612e-08
8.07495117, 7.36286978e-08
10.7666016, 9.56663158e-08
13.458252, 2.21536524e-07
16.1499023, 3.00783114e-07
18.8415527, 8.38020782e-08
21.5332031, 2.28275603e-08
24.2248535, 2.17987779e-08
26.9165039, 2.16135287e-08
29.6081543, 3.49252645e-08
32.2998047, 5.17648395e-08
34.9914551, 5.89230424e-08
37.6831055, 8.64109779e-08
40.3747559, 9.04704649e-08
43.0664062, 2.53205368e-08
45.7580566, 2.41944793e-08
48.449707, 3.25643938e-08
51.1413574, 3.38753949e-08
53.8330078, 2.67818336e-08
56.5246582, 4.08947969e-08
59.2163086, 5.1080189e-08
61.907959, 3.12556985e-08
64.5996094, 1.20377042e-08
67.2912598, 1.1041446e-08
69.9829102, 7.51678275e-09
72.6745605, 4.29924363e-09
75.3662109, 5.41704681e-09
78.0578613, 2.97902969e-09
80.7495117, 3.60470231e-09
83.4411621, 3.68934905e-09
86.1328125, 6.69801947e-09
88.8244629, 7.31441219e-09
91.5161133, 6.45417453e-09
94.2077637, 7.95484301e-09
96.8994141, 7.74067654e-09
99.5910645, 2.05211048e-08
102.282715, 9.2179766e-09
104.974365, 2.11868145e-09
107.666016, 1.66978253e-09
110.357666, 1.18574661e-09
113.049316, 1.65825509e-09
115.740967, 3.43539241e-09
118.432617, 5.10107467e-09
121.124268, 5.50876855e-09
123.815918, 6.39403286e-09
126.507568, 6.70860212e-09
129.199219, 1.82768396e-08
131.890869, 2.9839871e-08
134.58252, 2.27978045e-08
137.27417, 1.39887799e-08
139.96582, 1.34224543e-08
142.657471, 1.51333648e-08
145.349121, 1.03702282e-08
148.040771, 1.13790515e-08
150.732422, 1.28108235e-08
153.424072, 6.57796839e-09
156.115723, 6.49456933e-09
158.807373, 4.43083037e-09
161.499023, 4.4350017e-09
164.190674, 2.63805067e-09
166.882324, 2.16579221e-09
169.573975, 2.41939668e-09
172.265625, 2.325099e-09
174.957275, 3.82470411e-09
177.648926, 5.05943021e-09
180.340576, 7.05504855e-09
183.032227, 8.46172465e-09
185.723877, 8.3011189e-09
188.415527, 7.18443127e-09
191.107178, 7.59667351e-09
193.798828, 1.0441866e-08
196.490479, 8.64770211e-09
199.182129, 1.46437573e-08
201.873779, 1.09836895e-08
204.56543, 7.34329397e-09
207.25708, 1.0982574e-08
209.94873, 1.38673677e-08
212.640381, 1.20653905e-08
215.332031, 1.590465e-08
218.023682, 2.08426165e-08
220.715332, 1.89821563e-08
223.406982, 1.74723027e-08
226.098633, 1.8309553e-08
228.790283, 1.21778605e-08
231.481934, 9.32066513e-09
234.173584, 8.13668688e-09
236.865234, 9.57969615e-09
239.556885, 1.058166e-08
242.248535, 1.00877662e-08
244.940186, 1.06050893e-08
247.631836, 1.42710546e-08
250.323486, 1.30295517e-08
253.015137, 5.49789236e-09
255.706787, 3.31408767e-09
258.398438, 2.85417645e-09
261.090088, 3.1095686e-09
263.781738, 3.78419562e-09
266.473389, 5.01389996e-09
269.165039, 1.13371854e-08
271.856689, 1.0992574e-08
274.54834, 5.33788924e-09
277.23999, 3.1828038e-09
279.931641, 3.14072746e-09
282.623291, 9.36091027e-09
285.314941, 2.28299282e-08
288.006592, 1.91056788e-08
290.698242, 9.11193876e-09
293.389893, 5.5463123e-09
296.081543, 8.1406899e-09
298.773193, 6.90126853e-08
301.464844, 5.9857669e-08
304.156494, 6.83061341e-09
306.848145, 3.4882337e-09
309.539795, 2.6075786e-09
312.231445, 2.25998242e-09
314.923096, 1.64059843e-09
317.614746, 1.67288305e-09
320.306396, 1.62267266e-09
322.998047, 1.92402005e-09
325.689697, 2.27877672e-09
328.381348, 3.24756644e-09
331.072998, 3.30663252e-09
333.764648, 1.89374183e-09
336.456299, 1.50738111e-09
339.147949, 1.53725133e-09
341.8396, 1.70323888e-09
344.53125, 1.64147507e-09
347.2229, 2.30892749e-09
349.914551, 4.91355667e-09
352.606201, 3.39767703e-09
355.297852, 3.95067801e-09
357.989502, 4.5522377e-09
360.681152, 3.49425777e-09
363.372803, 3.43076234e-09
366.064453, 3.62093067e-09
368.756104, 5.26885247e-09
371.447754, 1.45686379e-08
374.139404, 8.03679256e-09
376.831055, 1.79130155e-09
379.522705, 1.42918133e-09
382.214355, 1.25404687e-09
384.906006, 9.65565961e-10
387.597656, 1.2046979e-09
390.289307, 1.94320604e-09
392.980957, 3.44767193e-09
395.672607, 4.17073664e-09
398.364258, 1.54669326e-08
401.055908, 1.9070626e-08
403.747559, 4.45563186e-09
406.439209, 3.38889428e-09
409.130859, 3.10955151e-09
411.82251, 1.89639771e-09
414.51416, 1.2374064e-09
417.205811, 1.44221413e-09
419.897461, 1.50060953e-09
422.589111, 1.27158895e-09
425.280762, 1.59121494e-09
427.972412, 1.03201736e-09
430.664062, 9.78190307e-10
433.355713, 9.20433785e-10
436.047363, 1.1334621e-09
438.739014, 1.21525157e-09
441.430664, 1.23509858e-09
444.122314, 1.68475267e-09
446.813965, 1.75289383e-09
449.505615, 2.81061641e-09
452.197266, 1.69117376e-09
454.888916, 1.02400477e-09
457.580566, 1.17816445e-09
460.272217, 1.226101e-09
462.963867, 1.25194144e-09
465.655518, 8.55466864e-10
468.347168, 1.05192677e-09
471.038818, 1.2388397e-09
473.730469, 1.54801694e-09
476.422119, 1.23077581e-09
479.11377, 1.14652043e-09
481.80542, 1.38953915e-09
484.49707, 1.55121638e-09
487.188721, 1.73463643e-09
489.880371, 1.63183478e-09
492.572021, 1.35429357e-09
495.263672, 8.77805439e-10
497.955322, 1.14898169e-09
500.646973, 1.47487467e-09
503.338623, 6.45988485e-10
506.030273, 6.58507859e-10
508.721924, 6.79398038e-10
511.413574, 8.4113666e-10
514.105225, 7.68317188e-10
516.796875, 5.35356148e-10
519.488525, 4.96621744e-10
522.180176, 4.69329187e-10
524.871826, 6.47181864e-10
527.563477, 5.33285305e-10
530.255127, 6.21324769e-10
532.946777, 8.01724631e-10
535.638428, 7.6344675e-10
538.330078, 6.50265619e-10
541.021729, 4.72059947e-10
543.713379, 5.11951814e-10
546.405029, 4.32713004e-10
549.09668, 1.21613331e-09
551.78833, 1.04569187e-09
554.47998, 5.76047987e-10
557.171631, 5.92386196e-10
559.863281, 3.68066605e-10
562.554932, 3.96012639e-10
565.246582, 3.48436668e-10
567.938232, 4.1713813e-10
570.629883, 3.82174487e-10
573.321533, 4.2115908e-10
576.013184, 4.21591678e-10
578.704834, 3.624408e-10
581.396484, 3.94274086e-10
584.088135, 2.83287893e-10
586.779785, 4.13221846e-10
589.471436, 3.90967397e-10
592.163086, 3.83702264e-10
594.854736, 3.67061992e-10
597.546387, 5.36339861e-10
600.238037, 9.64508917e-10
602.929688, 4.53308224e-10
605.621338, 3.40937223e-10
608.312988, 4.42645892e-10
611.004639, 4.76522266e-10
613.696289, 3.92234717e-10
616.387939, 4.04798056e-10
619.07959, 4.58076049e-10
621.77124, 3.47282259e-10
624.462891, 4.55489063e-10
627.154541, 5.46142076e-10
629.846191, 4.02134659e-10
632.537842, 3.80788429e-10
635.229492, 3.20915128e-10
637.921143, 3.68985287e-10
640.612793, 2.82337598e-10
643.304443, 3.58468921e-10
645.996094, 4.00777939e-10
648.687744, 7.228938e-10
651.379395, 7.01734115e-10
654.071045, 3.43109235e-10
656.762695, 3.14393594e-10
659.454346, 2.87928098e-10
662.145996, 3.55049823e-10
664.837646, 3.36936812e-10
667.529297, 4.04450612e-10
670.220947, 3.20954263e-10
672.912598, 3.07288139e-10
675.604248, 5.04616959e-10
678.295898, 5.08116771e-10
680.987549, 5.45244905e-10
683.679199, 3.9910536e-10
686.37085, 4.26217117e-10
689.0625, 4.39708076e-10
691.75415, 4.68009409e-10
694.445801, 4.31501335e-10
697.137451, 5.87832449e-10
699.829102, 8.42118153e-10
702.520752, 3.8254655e-10
705.212402, 2.70813288e-10
707.904053, 3.14778675e-10
710.595703, 3.52423951e-10
713.287354, 3.51746826e-10
715.979004, 2.93175428e-10
718.670654, 2.618048e-10
721.362305, 2.19479893e-10
724.053955, 2.3068103e-10
726.745605, 2.75182321e-10
729.437256, 3.62418123e-10
732.128906, 4.67856476e-10
734.820557, 4.89630947e-10
737.512207, 5.89956028e-10
740.203857, 5.52220769e-10
742.895508, 6.70222211e-10
