# Frequency (Hz), Power Spectrum (A^2/Hz)
562.554932, 1.64141922e-10
565.246582, 8.62800997e-10
567.938232, 9.24479493e-10
570.629883, 1.61659297e-10
573.321533, 5.6099827e-09
576.013184, 1.95682812e-08
578.704834, 4.70064876e-09
581.396484, 6.06944828e-10
584.088135, 9.58298996e-10
586.779785, 1.76182874e-10
589.471436, 5.01407027e-10
592.163086, 1.08691522e-09
594.854736, 1.76892861e-10
597.546387, 3.57674362e-10
600.238037, 1.02431341e-09
602.929688, 3.08265219e-10
605.621338, 6.21185459e-09
608.312988, 1.7567011e-08
611.004639, 3.30026984e-09
613.696289, 5.80158199e-10
616.387939, 1.42330836e-09
619.07959, 8.30112923e-10
621.77124, 3.79955872e-10
624.462891, 1.35738776e-09
627.154541, 7.37513772e-10
629.846191, 7.84983134e-10
632.537842, 1.97628292e-09
635.229492, 2.01018335e-09
637.921143, 8.58201687e-09
640.612793, 1.59950755e-08
643.304443, 3.6272978e-09
645.996094, 2.01031014e-08
648.687744, 4.14850575e-07
651.379395, 4.03503918e-07
654.071045, 1.78880679e-08
656.762695, 1.86900162e-09
659.454346, 1.73007964e-09
662.145996, 1.65131342e-09
664.837646, 1.82869941e-09
667.529297, 1.92873006e-09
670.220947, 8.64105409e-09
672.912598, 1.26581066e-08
675.604248, 2.16353713e-09
678.295898, 3.77873038e-10
680.987549, 7.42932438e-10
683.679199, 1.23853949e-09
686.37085, 4.93288577e-10
689.0625, 4.39917547e-10
691.75415, 1.04389142e-09
694.445801, 2.87340846e-10
697.137451, 2.8920083e-10
699.829102, 1.16847965e-09
702.520752, 8.74737704e-09
705.212402, 9.70368585e-09
707.904053, 1.42125711e-09
710.595703, 4.21540747e-10
713.287354, 1.68573613e-10
715.979004, 8.30945257e-10
718.670654, 4.91649665e-10
721.362305, 1.52569485e-10
724.053955, 8.8046187e-10
726.745605, 6.09312101e-10
729.437256, 1.7065839e-10
732.128906, 1.29159639e-09
734.820557, 9.88613991e-09
737.512207, 7.81264209e-09
740.203857, 8.8117208e-10
742.895508, 7.18618609e-10
745.587158, 8.57873633e-11
748.278809, 5.24414012e-10
750.970459, 6.83288537e-10
753.662109, 7.38417313e-11
756.35376, 4.35882802e-10
759.04541, 8.12433176e-10
761.737061, 1.11390216e-10
764.428711, 1.12923104e-09
767.120361, 1.02998916e-08
769.812012, 6.04783645e-09
772.503662, 3.6463943e-10
775.195312, 8.77048156e-10
777.886963, 2.26129213e-10
780.578613, 2.85667101e-10
783.270264, 8.68201122e-10
785.961914, 3.15689669e-10
788.653564, 1.96770503e-10
791.345215, 8.50369219e-10
794.036865, 3.28433752e-10
796.728516, 1.58297286e-09
799.420166, 1.19191128e-08
802.111816, 5.46407675e-09
804.803467, 1.37846845e-10
807.495117, 7.24726168e-10
810.186768, 4.473171e-10
812.878418, 5.78012777e-11
815.570068, 5.64567004e-10
818.261719, 5.01275854e-10
820.953369, 8.62128563e-11
823.64502, 5.9170735e-10
826.33667, 6.24629737e-10
829.02832, 1.8361267e-09
831.719971, 9.35102928e-09
834.411621, 3.75290554e-09
837.103271, 2.66952793e-10
839.794922, 5.7166627e-10
842.486572, 8.88254026e-10
845.178223, 3.17850662e-10
847.869873, 9.79015313e-10
850.561523, 1.33463851e-09
853.253174, 1.26669475e-09
855.944824, 1.04156372e-09
858.636475, 1.32442146e-09
861.328125, 3.06113024e-09
864.019775, 1.12499997e-07
866.711426, 3.94137061e-07
869.403076, 9.65356719e-08
872.094727, 9.97735117e-10
874.786377, 1.30643907e-09
877.478027, 1.04189901e-09
880.169678, 1.25711141e-09
882.861328, 1.28297861e-09
885.552979, 8.90703844e-10
888.244629, 2.96626224e-10
890.936279, 8.18668244e-10
893.62793, 3.25153837e-09
896.31958, 7.99202038e-09
899.01123, 2.22063612e-09
901.702881, 6.46250997e-10
904.394531, 2.42937948e-10
907.086182, 5.71564795e-10
909.777832, 5.36368006e-10
912.469482, 1.350631e-10
915.161133, 5.02703823e-10
917.852783, 5.14409626e-10
920.544434, 8.0332109e-11
923.236084, 4.20928487e-10
925.927734, 3.97696276e-09
928.619385, 6.78697321e-09
931.311035, 5.82892179e-10
934.002686, 6.32352004e-10
936.694336, 1.17470117e-10
939.385986, 3.0893707e-10
942.077637, 6.56276145e-10
944.769287, 1.92143149e-10
947.460938, 6.20397844e-10
950.152588, 1.21824939e-09
952.844238, 5.83307069e-10
955.535889, 3.52231438e-10
958.227539, 4.48731585e-09
960.919189, 5.9330092e-09
963.61084, 5.43618428e-10
966.30249, 5.32332178e-10
968.994141, 2.13162557e-10
971.685791, 8.62363445e-11
974.377441, 5.42499712e-10
977.069092, 2.75616197e-10
979.760742, 6.26332389e-11
982.452393, 4.44491999e-10
985.144043, 3.24564181e-10
987.835693, 2.08149512e-10
990.527344, 4.73020778e-09
993.218994, 5.10652276e-09
995.910645, 2.8874686e-10
998.602295, 4.22040486e-10
1001.29395, 4.28583807e-10
1003.9856, 8.55337329e-11
1006.67725, 3.45938944e-10
1009.3689, 4.50530308e-10
1012.06055, 7.94075916e-11
1014.7522, 2.99505781e-10
1017.44385, 4.54427329e-10
1020.1355, 3.8042558e-10
1022.82715, 4.91189622e-09
1025.5188, 4.32525837e-09
1028.21045, 1.88159918e-10
1030.9021, 1.53845076e-10
1033.59375, 4.42502812e-10
1036.2854, 1.28116975e-10
1038.97705, 1.42548945e-10
1041.6687, 4.96610197e-10
1044.36035, 2.07723269e-10
1047.052, 2.4120797e-10
1049.74365, 5.83623427e-10
1052.4353, 7.24969751e-10
1055.12695, 4.94496355e-09
1057.8186, 3.50176443e-09
1060.51025, 3.38000961e-10
1063.2019, 3.27985861e-10
1065.89355, 7.85735199e-10
1068.58521, 7.61871344e-10
1071.27686, 6.82584433e-10
1073.96851, 7.33572092e-10
1076.66016, 7.79944831e-10
1079.35181, 8.45695869e-09
1082.04346, 1.70271349e-07
1084.73511, 1.63278457e-07
1087.42676, 1.19708998e-08
1090.11841, 2.96024916e-09
1092.81006, 7.21766591e-10
1095.50171, 6.44387654e-10
1098.19336, 7.13179071e-10
1100.88501, 7.02119807e-10
1103.57666, 2.78684742e-10
1106.26831, 2.74374024e-10
1108.95996, 4.79975726e-10
1111.65161, 1.26644445e-10
1114.34326, 2.89328339e-10
1117.03491, 1.35743228e-09
1119.72656, 5.04158182e-09
1122.41821, 1.7430235e-09
1125.10986, 3.85265653e-10
1127.80151, 9.96576988e-11
1130.49316, 1.00130147e-10
1133.18481, 3.29746674e-10
1135.87646, 1.00953593e-10
1138.56812, 5.77959937e-11
1141.25977, 3.44166751e-10
1143.95142, 1.46060483e-10
1146.64307, 5.74804336e-11
1149.33472, 1.48933077e-09
1152.02637, 4.65457539e-09
1154.71802, 1.08326459e-09
1157.40967, 2.9920208e-10
1160.10132, 2.0880131e-10
1162.79297, 4.99107665e-11
1165.48462, 2.70095557e-10
1168.17627, 2.37618453e-10
1170.86792, 4.87250656e-11
1173.55957, 2.3668062e-10
1176.25122, 2.5627897e-10
1178.94287, 3.80868392e-11
1181.63452, 1.75112658e-09
1184.32617, 4.49958559e-09
1187.01782, 7.36122108e-10
1189.70947, 1.56707383e-10
1192.40112, 2.84821833e-10
1195.09277, 5.36957492e-11
1197.78442, 1.25851399e-10
1200.47607, 2.64627237e-10
1203.16772, 6.29907723e-11
1205.85938, 1.01793921e-10
1208.55103, 2.94227032e-10
1211.24268, 9.46683426e-11
1213.93433, 1.94976835e-09
1216.62598, 3.97547417e-09
1219.31763, 5.21672983e-10
1222.00928, 7.75237721e-11
1224.70093, 2.85890478e-10
1227.39258, 1.07580986e-10
1230.08423, 5.427905e-11
1232.77588, 2.32469669e-10
1235.46753, 1.16563509e-10
1238.15918, 3.80525368e-11
1240.85083, 2.37004805e-10
1243.54248, 1.81220081e-10
1246.23413, 2.24269825e-09
1248.92578, 3.46501849e-09
1251.61743, 3.95510652e-10
1254.30908, 3.16649658e-11
1257.00073, 1.84495891e-10
1259.69238, 1.93396327e-10
1262.38403, 8.57195426e-11
1265.07568, 2.21715313e-10
1267.76733, 2.78386314e-10
1270.45898, 9.06767508e-11
1273.15063, 1.79173204e-10
1275.84229, 3.38596262e-10
1278.53394, 2.62114708e-09
1281.22559, 3.06063153e-09
1283.91724, 5.165951e-10
